scenario,sim_time,day_time,job_id,source,event_type,technician,station,remaining_time,outcome,wait_time,turnaround_time,service_time,generated_at
base run,271.0,Day 11 - Friday 07:00,PROD-8,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,271.24128910578014,Day 11 - Friday 07:14,RESHIP-4,Reship,finished,Tech 2,Station 1,0,reshipped,55.24205784628788,72.24128910578014,1.4992312594922774,2026-07-16T19:34:27.108097
base run,279.5,Day 11 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,287.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,343.0,Day 14 - Monday 07:00,RESHIP-5,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,343.0,Day 14 - Monday 07:00,RMA-10,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,343.0,Day 14 - Monday 07:00,PROD-9,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,351.5,Day 14 - Monday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,279.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,375.5,Day 15 - Tuesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,270.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,391.0,Day 16 - Wednesday 07:00,RMA-11,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,399.5,Day 16 - Wednesday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,262.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,415.0,Day 17 - Thursday 07:00,RMA-12,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,419.4845954195339,Day 17 - Thursday 11:29,RMA-13,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,423.5,Day 17 - Thursday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,253.58583593498435,,,,,2026-07-16T19:34:27.108097
base run,439.0,Day 18 - Friday 07:00,ADVEX-6,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,439.0,Day 18 - Friday 07:00,RMA-14,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,439.9032745130787,Day 18 - Friday 07:54,RESHIP-6,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,447.5,Day 18 - Friday 15:30,RMA-7,Customer RMA,paused,Tech 1,Station 2,245.08583593498435,,,,,2026-07-16T19:34:27.108097
base run,511.0,Day 21 - Monday 07:00,RESHIP-7,Reship,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,511.0,Day 21 - Monday 07:00,RMA-15,Customer RMA,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,511.0,Day 21 - Monday 07:00,ADVEX-7,Advance Exchange,arrived,,,,,,,,2026-07-16T19:34:27.108097
base run,511.0,Day 21 - Monday 07:00,PROD-10,Production Failure,arrived,,,,,,,,2026-07-16T19:34:27.108097
