scenario,sim_time,day_time,tech_queue_length,station_queue_length,techs_busy,techs_idle,stations_busy,stations_idle,generated_at
base run,825,Day 34 - Sunday 09:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,830,Day 34 - Sunday 14:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,835,Day 34 - Sunday 19:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,840,Day 35 - Monday 00:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,845,Day 35 - Monday 05:00,37,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,850,Day 35 - Monday 10:00,38,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,855,Day 35 - Monday 15:00,38,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,860,Day 35 - Monday 20:00,38,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,865,Day 36 - Tuesday 01:00,38,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,870,Day 36 - Tuesday 06:00,38,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,875,Day 36 - Tuesday 11:00,39,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,880,Day 36 - Tuesday 16:00,39,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,885,Day 36 - Tuesday 21:00,39,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,890,Day 37 - Wednesday 02:00,39,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,895,Day 37 - Wednesday 07:00,39,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,900,Day 37 - Wednesday 12:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,905,Day 37 - Wednesday 17:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,910,Day 37 - Wednesday 22:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,915,Day 38 - Thursday 03:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,920,Day 38 - Thursday 08:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,925,Day 38 - Thursday 13:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,930,Day 38 - Thursday 18:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,935,Day 38 - Thursday 23:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,940,Day 39 - Friday 04:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,945,Day 39 - Friday 09:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,950,Day 39 - Friday 14:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,955,Day 39 - Friday 19:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,960,Day 40 - Saturday 00:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,965,Day 40 - Saturday 05:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,970,Day 40 - Saturday 10:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,975,Day 40 - Saturday 15:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,980,Day 40 - Saturday 20:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,985,Day 41 - Sunday 01:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
base run,990,Day 41 - Sunday 06:00,40,1,1,1,1,1,2026-07-15T19:35:44.848382
